CH3,CH2,CH(CHAIN),C(CHAIN),ACH,AC,CH2(CYCLIC),CH(CYCLIC),C(CYCLIC),Fobj,ln(Fobj)
1.829667603,0,0,-0.00010734,0,0.048388601,4.141599994,0,0,-2.416720381,-2.416720381
0.675362797,-8.26E-05,0,0,0,0.30821126,5.012344598,0,0,-2.657549013,-2.657549013
0.521592763,0,0,0,0,0.892076036,4.245844547,0,-5.23E-05,-2.470977411,-2.470977411
1.723325864,0,0,-5.60E-05,0,0.052223079,5.251792416,0,0,-3.468449697,-3.468449697
0.664837868,0,0,0,0,0.566628154,5.802613072,0,-0.000115382,-3.829487912,-3.829487912
0.596698362,0,0,-9.44E-05,0,0.952368788,5.113999777,0,0,-3.549792715,-3.549792715
1.666609116,0,0,-0.000113358,0,0.086413324,6.28360686,0,0,-4.553508853,-4.553508853
0.714210303,0,0,-0.000116208,0,0.865657753,6.49321086,0,-4.21E-05,-5.056173082,-5.056173082
0.688268739,0,0,-6.43E-05,0,1.101323477,5.888525833,0,0,-4.696517896,-4.696517896
1.642953144,0,0,-0.000109858,0,0.140845017,7.262599907,0,0,-5.67213844,-5.67213844
1.254604596,0,0,-9.74E-05,0,2.470012405,4.965769282,0,0,-6.215753954,-6.215753954
1.640811384,0,0,0,0,0.210053855,8.205816739,0,-3.30E-05,-6.826028158,-6.826028158
2.181257266,0,0,-0.000113861,0,4.037269988,4.342995941,0,0,-8.976717864,-8.976717864
1.654812827,0,0,0,0,0.28974658,9.122077926,0,0,-8.014563246,-8.014563246
